Date,Open,High,Low,Close,Adj Close,Volume
2011-03-15,11988.690430,11988.690430,11648.500000,11855.419922,11855.419922,5201400000
2011-03-16,11854.129883,11862.080078,11548.139648,11613.299805,11613.299805,5833000000
2011-03-17,11614.820313,11842.549805,11614.820313,11774.589844,11774.589844,4134950000
2011-03-18,11777.230469,11971.139648,11777.230469,11858.519531,11858.519531,4685500000
2011-03-21,11860.110352,12117.879883,11860.110352,12036.530273,12036.530273,4223730000
2011-03-22,12036.370117,12096.009766,11965.379883,12018.629883,12018.629883,3576550000
2011-03-23,12018.400391,12131.889648,11936.700195,12086.019531,12086.019531,3842350000
2011-03-24,12087.540039,12221.080078,12064.599609,12170.559570,12170.559570,4223740000
2011-03-25,12170.709961,12290.290039,12143.620117,12220.589844,12220.589844,4223740000
2011-03-28,12221.190430,12305.200195,12177.450195,12197.879883,12197.879883,3215170000
2011-03-29,12193.870117,12310.349609,12141.650391,12279.009766,12279.009766,3482580000
2011-03-30,12280.070313,12413.429688,12271.519531,12350.610352,12350.610352,3809570000
2011-03-31,12350.839844,12422.959961,12277.049805,12319.730469,12319.730469,3566270000
2011-04-01,12321.019531,12454.519531,12301.110352,12376.719727,12376.719727,4223740000
2011-04-04,12374.599609,12445.750000,12331.349609,12400.030273,12400.030273,4223740000
2011-04-05,12402.080078,12474.500000,12320.339844,12393.900391,12393.900391,3852280000
2011-04-06,12386.660156,12499.030273,12347.129883,12426.750000,12426.750000,4223740000
2011-04-07,12426.450195,12471.700195,12307.620117,12409.490234,12409.490234,4005600000
2011-04-08,12409.799805,12475.030273,12310.459961,12380.049805,12380.049805,3582810000
2011-04-11,12380.429688,12476.929688,12319.349609,12381.110352,12381.110352,3478970000
2011-04-12,12381.040039,12381.040039,12185.089844,12263.580078,12263.580078,4275490000
2011-04-13,12263.730469,12372.940430,12203.629883,12270.990234,12270.990234,3850860000
2011-04-14,12270.240234,12332.709961,12137.980469,12285.150391,12285.150391,3872630000
2011-04-15,12285.450195,12402.610352,12238.339844,12341.830078,12341.830078,4223740000
2011-04-18,12339.709961,12339.790039,12093.889648,12201.589844,12201.589844,4223740000
2011-04-19,12201.440430,12320.530273,12163.290039,12266.750000,12266.750000,3886300000
2011-04-20,12279.169922,12530.959961,12279.169922,12453.540039,12453.540039,4236280000
2011-04-21,12453.620117,12563.889648,12377.820313,12505.990234,12505.990234,3587240000
2011-04-25,12505.990234,12547.500000,12401.019531,12479.879883,12479.879883,2142130000
